Date,Year,Month,Requirement_MU,Monthly_Festival_Index,Temperature_Mean,IIP_YoY
2015-04-01,2015,4,89181.4,8.5,27.74,0.041
2015-05-01,2015,5,98315.0,4.0,30.24,0.027
2015-06-01,2015,6,92753.8,1.5,29.15,0.038
2015-07-01,2015,7,99105.2,4.5,28.64,0.042
2015-08-01,2015,8,99166.2,6.5,28.05,0.064
2015-09-01,2015,9,99019.7,14.0,27.98,0.036
2015-10-01,2015,10,100793.0,16.5,27.03,0.098
2015-11-01,2015,11,86681.0,8.5,24.09,-0.032
2015-12-01,2015,12,91066.8,6.0,21.13,-0.013
2016-01-01,2016,1,93090.0,9.0,20.45,-0.015
2016-02-01,2016,2,90564.4,0.0,23.15,0.02
2016-03-01,2016,3,97881.6,11.5,26.26,0.001
2016-04-01,2016,4,100757.5,8.0,29.32,-0.008
2016-05-01,2016,5,101912.4,4.0,30.34,0.012
2016-06-01,2016,6,99491.6,1.5,29.67,0.021
2016-07-01,2016,7,97367.9,4.5,28.09,-0.024
2016-08-01,2016,8,99242.8,10.0,28.05,-0.007
2016-09-01,2016,9,101344.9,10.5,27.59,0.007
2016-10-01,2016,10,98477.0,21.5,26.59,-0.019
2016-11-01,2016,11,92989.8,3.5,23.53,0.057
2016-12-01,2016,12,94705.9,6.0,21.4,-0.004
2017-01-01,2017,1,96505.5,9.0,20.06,0.027
2017-02-01,2017,2,90764.7,3.5,22.68,-0.012
2017-03-01,2017,3,102627.6,4.5,25.24,0.027
2017-04-01,2017,4,104349.0,11.5,28.95,0.031
2017-05-01,2017,5,108642.9,4.0,30.42,0.017
2017-06-01,2017,6,101265.5,6.0,29.36,-0.001
2017-07-01,2017,7,104181.0,0.0,28.19,0.012
2017-08-01,2017,8,106082.9,13.5,28.0,0.043
2017-09-01,2017,9,102171.3,18.0,28.03,0.038
2017-10-01,2017,10,101526.4,10.5,27.04,0.022
2017-11-01,2017,11,95907.3,3.5,23.52,0.084
2017-12-01,2017,12,97866.6,6.0,20.95,0.071
2018-01-01,2018,1,101873.1,9.0,19.9,0.075
2018-02-01,2018,2,93139.1,3.5,22.58,0.071
2018-03-01,2018,3,107731.0,13.5,26.01,0.044
2018-04-01,2018,4,106140.7,5.0,28.48,0.049
2018-05-01,2018,5,112991.9,1.5,29.99,0.032
2018-06-01,2018,6,110573.1,6.0,29.58,0.07
2018-07-01,2018,7,111364.1,0.0,28.19,0.066
2018-08-01,2018,8,114626.7,13.5,27.73,0.043
2018-09-01,2018,9,112498.0,9.5,27.63,0.045
2018-10-01,2018,10,115583.5,14.0,26.42,0.081
2018-11-01,2018,11,102015.0,8.5,23.84,0.005
2018-12-01,2018,12,104143.0,6.0,20.41,0.024
2019-01-01,2019,1,104232.0,9.0,19.62,0.017
2019-02-01,2019,2,95600.0,0.0,21.8,0.001
2019-03-01,2019,3,111441.0,8.0,24.92,-0.001
2019-04-01,2019,4,113482.0,11.5,28.82,0.034
2019-05-01,2019,5,122670.0,4.0,30.27,0.031
2019-06-01,2019,6,120315.0,6.0,30.26,0.02
2019-07-01,2019,7,117677.0,0.0,28.65,0.043
2019-08-01,2019,8,114235.0,14.0,27.92,-0.011
2019-09-01,2019,9,110295.0,12.5,27.56,-0.043
2019-10-01,2019,10,101178.0,15.5,26.22,-0.038
2019-11-01,2019,11,96014.0,3.5,23.93,0.018
2019-12-01,2019,12,101684.0,6.0,20.32,-0.003
2020-01-01,2020,1,106397.0,9.0,19.65,0.02
2020-02-01,2020,2,105011.0,3.5,21.93,0.045
2020-03-01,2020,3,100494.0,4.5,24.76,-0.167
2020-04-01,2020,4,85030.0,11.5,28.14,-0.008
