month,iip_yoy,,
"September, 2014",0.025,,
"October, 2014",-0.042,,
"November, 2014",0.038,,
"December, 2014",0.017,,
"January, 2015",0.026,,
"February, 2015",0.05,,
"March, 2015",0.021,,
"April, 2015",0.041,,
"May, 2015",0.027,,
"June, 2015",0.038,,
"July, 2015",0.042,,
"August, 2015",0.064,,
"September, 2015",0.036,,
"October, 2015",0.098,,
"November, 2015",-0.032,,
"December, 2015",-0.013,,
"January, 2016",-0.015,,
"February, 2016",0.02,,
"March, 2016",0.001,,
"April, 2016",-0.008,,
"May, 2016",0.012,,
"June, 2016",0.021,,
"July, 2016",-0.024,,
"August, 2016",-0.007,,
"September, 2016",0.007,,
"October, 2016",-0.019,,
"November, 2016",0.057,,
"December, 2016",-0.004,,
"January, 2017",0.027,,
"February, 2017",-0.012,,
"March, 2017",0.027,,
"April, 2017",0.031,,
"May, 2017",0.017,,
"June, 2017",-0.001,,
"July, 2017",0.012,,
"August, 2017",0.043,,
"September, 2017",0.038,,
"October, 2017",0.022,,
"November, 2017",0.084,,
"December, 2017",0.071,,
"January, 2018",0.075,,
"February, 2018",0.071,,
"March, 2018",0.044,,
"April, 2018",0.049,,
"May, 2018",0.032,,
"June, 2018",0.07,,
"July, 2018",0.066,,
"August, 2018",0.043,,
"September, 2018",0.045,,
"October, 2018",0.081,,
"November, 2018",0.005,,
"December, 2018",0.024,,
"January, 2019",0.017,,
"February, 2019",0.001,,
"March, 2019",-0.001,,
"April, 2019",0.034,,
"May, 2019",0.031,,
"June, 2019",0.02,,
"July, 2019",0.043,,
"August, 2019",-0.011,,
"September, 2019",-0.043,,
"October, 2019",-0.038,,
"November, 2019",0.018,,
"December, 2019",-0.003,,
"January, 2020",0.02,,
"February, 2020",0.045,,
"March, 2020",-0.167,,
"April, 2020",-0.008,,
"May, 2020",-0.347,,
"June, 2020",-0.166,,
"July, 2020",-0.104,,
"August, 2020",-0.08,,
"September, 2020",0.002,,
"October, 2020",0.036,,
"November, 2020",-0.019,,
"December, 2020",0.01,,
"January, 2021",-0.016,,
"February, 2021",-0.036,,
"March, 2021",0.224,,
"April, 2021",1.344,,
"May, 2021",0.293,,
"June, 2021",0.136,,
"July, 2021",0.115,,
"August, 2021",0.119,,
"September, 2021",0.031,,
"October, 2021",0.032,,
"November, 2021",0.014,,
"December, 2021",0.004,,
"January, 2022",0.013,,
"February, 2022",0.017,,
"March, 2022",0.019,,
"April, 2022",0.071,,
"May, 2022",0.196,,
"June, 2022",0.123,,
"July, 2022",0.024,,
"August, 2022",-0.008,,
"September, 2022",0.031,,
"October, 2022",-0.04,,
"November, 2022",0.071,,
"December, 2022",0.043,,
"January, 2023",0.052,,
"February, 2023",0.056,,
"March, 2023",0.011,,
"April, 2023",0.042,,
"May, 2023",0.052,,
"June, 2023",0.037,,
"July, 2023",0.057,,
"August, 2023",0.103,,
"September, 2023",0.058,,
"October, 2023",0.117,,
"November, 2023",0.024,,
"December, 2023",0.038,,
"January, 2024",0.038,,
"Februrary, 2024",0.057,,
"March, 2024",0.049,,
"April, 2024",0.05,,
"May, 2024",0.059,,
"June, 2024",0.042,,
"July, 2025",0.048,,
"August, 2024",-0.001,,
"September, 2024",0.031,,
"October, 2024",0.035,,
"November, 2024",0.052,,
"December, 2024",0.032,,
"January, 2025",0.05,,
"Februrary, 2025",0.029,,
"March, 2025",0.03,,
"April, 2025",0.027,,
"May, 2025",0.012,,
June. 2025,0.015,,
"July, 2025",0.035,,
"August, 2025",0.04,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
