p,d,q,AIC,BIC,Val_MAE
0,1,0,1795.1197066409018,1797.5856147595564,8761.111111111111
0,1,1,1797.0668200266682,1801.9986362639775,8761.111111111111
1,1,0,1797.1812714832922,1802.1130877206015,8760.96913278291
1,1,1,1798.369825113866,1805.7675494698296,8824.418552965197
0,1,2,1798.7494591517902,1806.1471835077539,8773.718550530046
2,1,0,1798.8063417691721,1806.2040661251358,8772.221498208537
3,1,3,1799.579295664618,1816.8406524952002,8510.014152214831
1,1,2,1799.6094760283804,1809.4731085029987,8767.174854891895
2,1,1,1800.3032731221083,1810.1669055967266,8806.149431610334
0,1,3,1800.3753642288173,1810.2389967034355,8768.295257462787
3,1,0,1800.4922227465104,1810.3558552211286,8766.855949358329
3,1,1,1801.1917705106996,1813.5213111039725,8752.930181529337
1,1,3,1801.3867271435552,1813.716267736828,8756.810673271746
2,1,2,1801.7475064216578,1814.0770470149307,8800.872166804407
2,1,3,1803.5584980404728,1818.3539467524004,8830.379577190566
3,1,2,1803.8251598554498,1818.6206085673773,8834.202976676936
3,0,3,1806.0013497915552,1825.8200443073808,19294.74456311063
1,0,0,1812.165947783478,1819.5979582269126,19999.784697092753
2,0,0,1812.5947411842842,1822.504088442197,18485.53322626443
1,0,1,1812.8271962325314,1822.736543490444,18452.253941771884
1,0,2,1813.942407189802,1826.329091262193,19976.590969862256
3,0,0,1814.3488062239203,1826.7354902963114,19301.646132993585
3,0,2,1814.4770761311565,1831.818433832504,19739.880839348487
2,0,1,1814.4920628701848,1826.8787469425758,18727.016087525037
0,2,2,1815.278611606905,1822.6416534956657,9854.964566051602
1,0,3,1815.7829064102893,1830.6469272971585,20901.208020181162
3,0,1,1816.2894891558528,1831.153510042722,19564.957756106734
2,0,3,1816.3183860369952,1833.6597437383427,20527.487310057364
2,0,2,1816.423414934854,1831.2874358217232,18190.73537558889
1,2,1,1816.6231637236126,1823.9862056123732,10702.22724862446
1,2,2,1816.929668700825,1826.747057885839,11533.666573800816
0,2,3,1817.118586499673,1826.935975684687,9137.433501362226
2,2,1,1817.498824795506,1827.31621398052,11233.749052675901
3,2,3,1817.6347151830394,1834.815146256814,12872.721861590659
2,2,2,1818.279173361576,1830.5509098428436,11185.104406120365
1,2,3,1818.440976984669,1830.7127134659365,11391.090686682855
3,2,1,1819.702231486747,1831.9739679680144,11104.18102567695
3,2,2,1820.855051423606,1835.5811352011272,11157.356004142704
0,0,3,1821.6177534333478,1834.004437505739,22601.17574886077
0,2,1,1821.6775438773338,1826.586238469841,9236.068472201654
2,2,3,1822.942518905143,1837.6686026826642,14719.132877044076
2,2,0,1830.4353335663316,1837.7983754550921,32752.619684804347
3,2,0,1830.7950528730996,1840.6124420581136,26939.151254761226
0,0,2,1831.9441721113599,1841.8535193692728,22898.79429059528
1,2,0,1843.806569895729,1848.715264488236,43927.49802408052
0,0,1,1848.2152132322217,1855.6472236756563,23353.013691667802
0,2,0,1852.3308522270056,1854.785199523259,52250.27777777779
0,0,0,2194.7434041992974,2199.6980778282536,23802.950505050507
