month,avg_max,avg_min,mean
2015-01,25.48,13.97,19.72
2015-02,28.58,16.17,22.38
2015-03,30.87,18.93,24.9
2015-04,33.34,22.14,27.74
2015-05,35.78,24.71,30.24
2015-06,33.53,24.77,29.15
2015-07,32.45,24.82,28.64
2015-08,31.77,24.33,28.05
2015-09,32.39,23.58,27.98
2015-10,32.37,21.69,27.03
2015-11,29.59,18.58,24.09
2015-12,27.07,15.18,21.13
2016-01,26.65,14.25,20.45
2016-02,29.48,16.82,23.15
2016-03,32.44,20.07,26.26
2016-04,35.32,23.33,29.32
2016-05,35.84,24.84,30.34
2016-06,34.15,25.18,29.67
2016-07,31.62,24.56,28.09
2016-08,31.72,24.38,28.05
2016-09,31.61,23.57,27.59
2016-10,31.91,21.26,26.59
2016-11,29.96,17.09,23.53
2016-12,27.75,15.04,21.4
2017-01,26.11,14.02,20.06
2017-02,29.24,16.13,22.68
2017-03,31.46,19.02,25.24
2017-04,34.9,23.01,28.95
2017-05,35.99,24.84,30.42
2017-06,33.83,24.88,29.36
2017-07,31.8,24.57,28.19
2017-08,31.65,24.35,28
2017-09,32.22,23.83,28.03
2017-10,32.25,21.84,27.04
2017-11,29.38,17.66,23.52
2017-12,26.89,15.02,20.95
2018-01,26.41,13.39,19.9
2018-02,29.02,16.14,22.58
2018-03,32.45,19.58,26.01
2018-04,34.37,22.59,28.48
2018-05,35.53,24.46,29.99
2018-06,34.03,25.12,29.58
2018-07,31.71,24.67,28.19
2018-08,31.22,24.23,27.73
2018-09,31.91,23.35,27.63
2018-10,32.01,20.83,26.42
2018-11,29.63,18.05,23.84
2018-12,26.41,14.4,20.41
2019-01,25.86,13.37,19.62
2019-02,27.72,15.88,21.8
2019-03,31.08,18.75,24.92
2019-04,34.74,22.89,28.82
2019-05,35.81,24.74,30.27
2019-06,35.07,25.45,30.26
2019-07,32.4,24.91,28.65
2019-08,31.46,24.37,27.92
2019-09,31.24,23.89,27.56
2019-10,30.81,21.62,26.22
2019-11,28.97,18.9,23.93
2019-12,25.44,15.21,20.32
2020-01,24.99,14.3,19.65
2020-02,28.04,15.82,21.93
2020-03,30.47,19.06,24.76
2020-04,33.91,22.36,28.14
2020-05,35.23,24.45,29.84
2020-06,33.41,24.81,29.11
2020-07,32.31,24.77,28.54
2020-08,31.53,24.73,28.13
2020-09,31.98,24.08,28.03
2020-10,32.03,21.89,26.96
2020-11,29.17,17.79,23.48
2020-12,26.59,15.06,20.82
2021-01,25.85,14.78,20.31
2021-02,29.09,16.01,22.55
2021-03,32.65,19.95,26.3
2021-04,34.52,22.33,28.42
2021-05,43.18,24.17,29.17
2021-06,33.34,24.81,29.07
2021-07,32.17,24.88,28.52
2021-08,31.75,24.39,28.07
2021-09,31.52,24.06,27.79
2021-10,31.42,22.16,26.79
2021-11,28.8,18.13,23.47
2021-12,26.26,15.19,20.72
2022-01,24.94,14.53,19.74
2022-02,,,
2022-03,33.1,20.24,26.67
2022-04,35.3,23.51,29.41
2022-05,35.07,24.84,29.96
2022-06,34.12,25.06,29.59
2022-07,31.65,24.68,28.17
2022-08,31.44,24.45,27.94
2022-09,31.76,23.89,27.82
2022-10,31.14,21.38,26.26
2022-11,29.37,17.69,23.53
2022-12,27.32,15.65,21.49
2023-01,25.79,14.07,19.93
2023-02,29.66,16.37,23.01
2023-03,31.37,19.46,25.41
2023-04,34.19,22.08,28.14
2023-05,35.03,23.92,29.47
2023-06,34.6,25.39,29.99
2023-07,31.91,24.9,28.4
2023-08,32.19,24.7,28.45
2023-09,32.22,24.22,28.23
2023-10,32.09,21.62,26.85
2023-11,29.64,18.89,24.27
2023-12,27.04,16.16,21.6
2024-01,25.66,14.66,20.16
2024-02,27.59,14.61,21.1
2024-03,31.71,18.14,24.92
2024-04,35.67,22.45,29.06
2024-05,37.32,24.83,31.08
2024-06,35.62,25.47,30.55
2024-07,31.5,24.36,27.93
2024-08,31.33,24.27,27.79
2024-09,31.96,23.79,27.88
2024-10,32.05,21.79,26.92
2024-11,29.37,16.9,23.14
2024-12,25.7,19.46,19.46
2025-01,25.53,12.51,19.02
2025-02,29.1,15.02,22.06
2025-03,32.73,18.32,25.52
2025-04,35.97,22.35,29.16
2025-05,35.08,24.07,29.57
2025-06,34.01,24.88,29.45
2025-07,31.5,24.36,27.93
2025-08,31.07,23.94,27.51
