p,d,q,P,D,Q,m,AIC,BIC,Val_MAE
1,1,1,0,1,1,12,1513.483400159087,1529.7058169538413,4813.691267689322
0,1,2,0,1,1,12,1515.0842323809482,1531.3066491757024,4497.923923682145
2,1,2,0,1,1,12,1515.99459727338,1536.8519902952066,7848.861941828696
2,1,2,1,1,1,12,1517.9465285554063,1541.1214096907695,4773.569484910531
2,1,1,0,1,1,12,1518.4152046037407,1536.9551095120312,4422.254332158752
0,1,1,1,1,1,12,1518.8236186851075,1535.0460354798618,4483.298661912596
0,1,0,0,1,1,12,1519.2421974292304,1530.829637996912,5006.891321068529
1,1,1,1,1,1,12,1519.3425522947334,1537.882457203024,4280.535670219255
0,1,1,0,1,1,12,1520.133608691788,1534.0385373730057,4429.469552153897
2,1,1,1,1,1,12,1520.1430146382636,1541.0004076600903,4268.918723609695
1,1,2,0,1,1,12,1520.4513335094105,1538.991238417701,4356.4546391509475
0,1,0,1,1,1,12,1520.8798818303842,1534.784810511602,4947.56637329541
1,1,0,0,1,1,12,1521.042014115513,1534.9469427967308,4673.988396602587
0,1,2,1,1,1,12,1521.0887779469083,1539.6286828551988,4218.214826101637
1,1,0,1,1,1,12,1521.9647876494687,1538.187204444223,4670.612622397935
1,1,2,1,1,1,12,1522.2169289106296,1543.0743219324563,4235.382447121727
2,1,0,0,1,1,12,1522.494124512841,1538.7165413075952,4540.171974524162
1,1,1,1,1,0,12,1523.0994066233666,1539.3218234181209,4715.890302867814
2,1,0,1,1,1,12,1524.2939477113032,1542.8338526195937,4444.626150865264
2,1,1,1,1,0,12,1524.3768588063417,1542.9167637146322,4987.769433860016
0,1,2,1,1,0,12,1524.6498456429808,1540.8722624377351,5336.341456853264
1,1,2,1,1,0,12,1525.6362979344174,1544.1762028427079,4829.8950792099195
0,1,1,1,1,0,12,1525.6828953481402,1539.587824029358,4552.411382551573
2,1,2,1,1,0,12,1526.4166056652557,1547.2739986870824,4837.290837242257
1,1,0,1,1,0,12,1526.900799090709,1540.8057277719267,3905.9652347967403
1,1,1,0,1,0,12,1527.3153621985125,1541.2202908797303,5729.042094509872
0,1,0,1,1,0,12,1528.001273042624,1539.5887136103056,4132.563017043902
2,1,0,1,1,0,12,1528.359458768411,1544.5818755631653,3909.848564528954
0,1,2,0,1,0,12,1528.6997553551082,1542.604684036326,6893.903964915478
2,1,1,0,1,0,12,1528.7396316480674,1544.9620484428217,6278.376727034233
1,1,2,0,1,0,12,1529.4742362328896,1545.6966530276438,5936.938018797934
2,1,2,0,1,0,12,1530.5980153499502,1549.1379202582407,5928.076080477109
0,1,1,0,1,0,12,1530.9670678723028,1542.5545084399844,5825.940237238744
1,1,0,0,1,0,12,1532.6711403103805,1544.258580878062,4866.857034377893
0,1,0,0,1,0,12,1533.6219021742847,1542.8918546284299,5280.350934168023
2,1,0,0,1,0,12,1533.7151057984247,1547.6200344796425,4895.480248552174
1,0,0,0,1,1,12,1534.557530701371,1548.5419307430889,13795.19839693994
2,0,0,0,1,1,12,1535.7264386547604,1552.0415720367646,12622.083890688833
1,0,1,0,1,1,12,1536.3149533386072,1552.6300867206114,11690.265613562013
2,0,2,0,1,1,12,1536.316015331514,1557.2926153940912,5298.5265602688705
1,0,0,1,1,1,12,1536.6922505738976,1553.0073839559018,13651.206595572194
2,0,0,1,1,1,12,1536.9200053738546,1555.5658720961453,12975.356896092351
1,0,1,1,1,1,12,1537.7049579950444,1556.3508247173352,11559.776584705853
1,0,0,0,1,0,12,1544.7840129224362,1556.4376796238678,9410.235123011204
2,0,1,0,1,1,12,1545.9075712154165,1564.5534379377073,9558.302666060648
1,0,2,0,1,1,12,1546.1700325992429,1564.8158993215336,9228.382071586371
2,0,1,1,1,1,12,1547.2835613922816,1568.2601614548587,9368.147963295856
1,0,2,1,1,1,12,1547.7960125364277,1568.7726125990048,9018.087092765956
2,0,0,0,1,0,12,1547.8256739305798,1561.8100739722977,9118.58998417495
1,0,1,0,1,0,12,1547.88296798556,1561.867368027278,9073.950170924389
2,0,1,0,1,0,12,1549.2010805579532,1565.5162139399577,9420.998158151158
2,0,2,1,1,1,12,1549.6026986116456,1572.910032014509,9184.390456576642
2,0,2,0,1,0,12,1550.719080804288,1569.3649475265788,5764.511757799331
0,0,2,0,1,1,12,1551.9761795337624,1568.2913129157669,14037.463712079585
1,0,1,1,1,0,12,1554.2435750344741,1570.5587084164786,10413.50104427565
1,0,0,1,1,0,12,1554.9718064979631,1568.956206539681,11884.187880642548
2,0,0,1,1,0,12,1555.0580490952484,1571.3731824772526,11247.258120522143
1,0,2,1,1,0,12,1555.6022048233276,1574.2480715456184,9782.437674743323
2,0,1,1,1,0,12,1555.6203921585225,1574.2662588808132,9865.4880915287
2,0,2,1,1,0,12,1557.5778134036232,1578.5544134662002,9783.403668121447
0,0,2,1,1,1,12,1562.2297992343933,1580.875665956684,13027.989783477255
0,0,2,1,1,0,12,1566.9482806997796,1583.263414081784,12311.280735046083
0,0,1,1,1,1,12,1569.250304182843,1585.5654375648473,12450.33150567306
1,0,2,0,1,0,12,1569.6141820182534,1585.9293154002576,9910.125454398381
0,0,2,0,1,0,12,1570.5166538120734,1584.5010538537913,11089.742890191274
0,0,1,0,1,1,12,1574.39859078161,1588.3829908233279,12783.545472344827
0,0,1,1,1,0,12,1575.6491615485572,1589.6335615902751,12262.166082005882
0,0,1,0,1,0,12,1577.1554615022037,1588.8091282036353,11340.293527321088
0,0,0,1,1,1,12,1584.255086440601,1598.2394864823189,9215.137709124761
0,0,0,0,1,0,12,1601.3909153577172,1610.7138487188624,11446.34426720939
0,0,0,1,1,0,12,1602.077266849326,1613.7309335507575,12015.45750528476
0,0,0,0,1,1,12,1605.8501706700363,1617.5038373714679,12234.227013067597
0,1,0,1,0,0,12,1780.914749736413,1793.2442903296858,6834.251556091414
0,1,1,1,0,0,12,1781.9571946858466,1796.7526433977741,6814.1478280342935
1,1,0,1,0,0,12,1782.0985272722937,1796.8939759842212,6814.087963365025
0,1,1,0,0,1,12,1782.390399618693,1797.1858483306205,6914.0169523224195
1,1,0,0,0,1,12,1782.547821976566,1797.3432706884935,6915.677348819958
1,1,1,1,0,0,12,1782.6859360892736,1799.9472929198557,6795.682445797754
0,1,1,1,0,1,12,1783.0345562891944,1800.2959131197765,6584.129890685409
0,1,2,1,0,0,12,1783.0600476796283,1800.3214045102104,6761.200602917861
1,1,1,0,0,1,12,1783.1004285220722,1800.3617853526544,6901.316416575946
2,1,0,1,0,0,12,1783.1420978564483,1800.4034546870305,6777.468643857255
