p,d,q,P,D,Q,m,AIC,BIC,Val_MAE
0,1,2,1,1,1,12,1547.4356176490046,1559.0230582166862,4949.424004120865
1,1,0,1,1,1,12,1547.6528550435767,1556.9228074977218,5395.141265577007
0,1,1,1,1,1,12,1547.7833614280892,1557.0533138822343,5353.613875378072
2,1,0,1,1,1,12,1547.8682467661256,1559.4556873338072,4984.676075248452
1,1,1,1,1,1,12,1548.4496884469804,1560.037129014662,4964.731541003068
1,1,2,1,1,1,12,1549.1467776597076,1563.0517063409254,4940.174485971726
2,1,1,1,1,1,12,1549.425094874142,1563.3300235553597,4933.308104579865
1,1,0,0,1,1,12,1549.9025767375117,1556.8550410781206,6762.2380716370335
0,1,1,0,1,1,12,1549.9753203915056,1556.9277847321146,6709.600667298105
0,1,0,1,1,0,12,1550.2263239383515,1554.8613001654242,7484.189187073157
0,1,2,0,1,1,12,1550.2648564830884,1559.5348089372335,5694.729041742143
2,1,0,0,1,1,12,1550.4565318177474,1559.7264842718926,5800.8622625907055
1,1,1,0,1,1,12,1551.0720939484786,1560.3420464026237,5427.644799985009
0,1,0,1,1,1,12,1551.66462675315,1558.617091093759,5985.441139569939
1,1,2,0,1,1,12,1552.0426515840747,1563.6300921517563,5581.643387424469
2,1,1,0,1,1,12,1552.1168796673405,1563.7043202350221,5528.880088790517
0,1,2,1,1,0,12,1552.2674027877995,1561.5373552419446,6242.051725885597
1,1,0,1,1,0,12,1552.2925531576009,1559.2450174982098,7614.031794867213
2,1,2,1,1,1,12,1552.2934801906413,1568.5158969853956,4907.217632164701
0,1,1,1,1,0,12,1552.3405255683308,1559.2929899089397,7644.7904981456
2,1,0,1,1,0,12,1552.405222187556,1561.6751746417012,6278.711842871633
1,1,1,1,1,0,12,1553.0062126120113,1562.2761650661564,5897.526051619256
0,1,0,0,1,0,12,1553.2632899671726,1555.5807780807088,8726.444444444445
0,1,0,0,1,1,12,1553.8711107628192,1558.5060869898919,6984.404183476218
2,1,1,1,1,0,12,1554.353709215066,1565.9411497827475,6125.191128194249
0,1,2,0,1,0,12,1554.3663569062776,1561.3188212468865,7172.648290230333
2,1,0,0,1,0,12,1554.5269970705517,1561.4794614111606,7166.304593948607
2,1,2,0,1,1,12,1554.624970500995,1568.5298991822128,5406.947824903285
1,1,2,1,1,0,12,1554.9975732225664,1566.585013790248,7256.046968696112
0,1,1,0,1,0,12,1555.0360492438817,1559.6710254709544,9142.493414476241
1,1,0,0,1,0,12,1555.0848133478682,1559.719789574941,9064.308075979548
1,1,1,0,1,0,12,1555.2553105181526,1562.2077748587615,6770.889400282627
2,1,2,1,1,0,12,1556.140638207965,1570.0455668891827,5994.418130150875
2,1,1,0,1,0,12,1556.348640119875,1565.61859257402,7405.724922460882
1,1,2,0,1,0,12,1556.553068613808,1565.823021067953,6923.427454533282
2,1,2,0,1,0,12,1557.5255225535577,1569.1129631212393,6798.193022823423
1,0,2,1,1,1,12,1574.2179741159725,1588.2023741576904,6141.718146764174
2,0,2,1,1,1,12,1576.119117805015,1592.4342511870195,6105.159071113634
1,0,2,0,1,1,12,1580.0983757392853,1591.7520424407169,10358.094497364813
1,0,2,1,1,0,12,1581.864228986401,1593.5178956878326,8634.669868248211
2,0,2,1,1,0,12,1582.7238505698056,1596.7082506115235,8583.767414750302
2,0,2,0,1,1,12,1582.9380620086097,1596.9224620503276,10310.820966721703
2,0,2,0,1,0,12,1585.39335442694,1597.0470211283716,9438.642547558571
0,0,1,0,1,0,12,1586.595016985126,1591.2564836656986,12628.785850197826
0,0,2,0,1,0,12,1587.5470247752098,1594.5392247960688,12616.505987560908
0,0,1,1,1,0,12,1588.5027226807076,1595.4949227015666,12680.256601942467
0,0,1,0,1,1,12,1588.5086311493474,1595.5008311702063,12677.18412750291
0,0,2,1,1,0,12,1588.9912673862427,1598.314200747388,12751.161438989537
0,0,2,0,1,1,12,1589.0333100849725,1598.3562434461178,12742.079455510662
1,0,0,1,1,0,12,1589.9937943529233,1596.9859943737822,12532.885623896263
1,0,0,0,1,1,12,1590.195110785079,1597.1873108059378,12520.379135706406
1,0,0,0,1,0,12,1590.3021104488018,1594.9635771293745,12354.744037906896
0,0,1,1,1,1,12,1590.4304954084034,1599.7534287695487,12688.378612115139
1,0,1,0,1,0,12,1590.4763829593612,1597.4685829802202,12549.179681007423
2,0,0,0,1,0,12,1590.75777400256,1597.7499740234189,12614.572145008628
0,0,2,1,1,1,12,1590.834648497614,1602.4883151990455,12748.074485856188
1,0,1,1,1,0,12,1591.2524338861733,1600.5753672473186,12665.407836021383
1,0,1,0,1,1,12,1591.367010274643,1600.6899436357883,12659.232481361887
2,0,0,1,1,0,12,1591.5032010635505,1600.8261344246957,12672.23725457936
